2022-10-19 06:10:27.334  WARN 7 --- [qtp786722925-224] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-10-19 06:10:28.502  WARN 7 --- [qtp786722925-223] .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-10-19 11:00:44.072  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [cache_lock_login_precheck] has been expired
2022-10-19 11:00:44.073  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [cache_lock_login_auth] has been expired
2022-10-19 11:16:06.259  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666149366259, extension=png, relativePath=upload/2022/10/image-1666149366259.png, basePath=/root/.halo, fullName=image-1666149366259.png, fullPath=/root/.halo/upload/2022/10/image-1666149366259.png, subPath=upload/2022/10)]
2022-10-19 11:16:06.263  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666149366259.png]
2022-10-19 11:16:06.272  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666149366259-thumbnail, extension=png, relativePath=upload/2022/10/image-1666149366259-thumbnail.png, basePath=/root/.halo, fullName=image-1666149366259-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666149366259-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 11:16:06.339  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666149366259-thumbnail.png]
2022-10-19 11:16:06.339  INFO 7 --- [qtp786722925-1608] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666149366259.png] successfully
2022-10-19 11:16:44.326  INFO 7 --- [qtp786722925-1626] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666149404326, extension=png, relativePath=upload/2022/10/image-1666149404326.png, basePath=/root/.halo, fullName=image-1666149404326.png, fullPath=/root/.halo/upload/2022/10/image-1666149404326.png, subPath=upload/2022/10)]
2022-10-19 11:16:44.326  INFO 7 --- [qtp786722925-1626] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666149404326.png]
2022-10-19 11:16:44.327  INFO 7 --- [qtp786722925-1626] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666149404326-thumbnail, extension=png, relativePath=upload/2022/10/image-1666149404326-thumbnail.png, basePath=/root/.halo, fullName=image-1666149404326-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666149404326-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 11:16:44.454  INFO 7 --- [qtp786722925-1626] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666149404326-thumbnail.png]
2022-10-19 11:16:44.454  INFO 7 --- [qtp786722925-1626] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666149404326.png] successfully
2022-10-19 11:17:07.457  INFO 7 --- [qtp786722925-1626] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666149427457, extension=png, relativePath=upload/2022/10/image-1666149427457.png, basePath=/root/.halo, fullName=image-1666149427457.png, fullPath=/root/.halo/upload/2022/10/image-1666149427457.png, subPath=upload/2022/10)]
2022-10-19 11:17:07.458  INFO 7 --- [qtp786722925-1626] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666149427457.png]
